canary-go-server  | time=2026-07-23T23:59:07.999Z level=DEBUG msg=lua msg="[Achievements registration] - Registering achievement 'Annihilator' with id '57'"
canary-go-server  | time=2026-07-23T23:59:07.999Z level=DEBUG msg=lua msg="[Achievements registration] - Registering achievement 'Master of the Nexus' with id '58'"
canary-go-server  | time=2026-07-23T23:59:07.999Z level=DEBUG msg=lua msg="[Achievements registration] - Registering achievement 'Talented Dancer' with id '59'"
canary-go-server  | time=2026-07-23T23:59:07.999Z level=DEBUG msg=lua msg="[Achievements registration] - Registering achievement 'Allow Cookies?' with id '60'"
canary-go-server  | time=2026-07-23T23:59:07.999Z level=DEBUG msg=lua msg="[Achievements registration] - Registering achievement 'Ruthless' with id '61'"
canary-go-server  | time=2026-07-23T23:59:07.999Z level=DEBUG msg=lua msg="[Achievements registration] - Registering achievement 'Champion of Chazorai' with id '62'"
canary-go-server  | time=2026-07-23T23:59:07.999Z level=DEBUG msg=lua msg="[Achievements registration] - Registering achievement 'Wayfarer' with id '63'"
canary-go-server  | time=2026-07-23T23:59:07.999Z level=DEBUG msg=lua msg="[Achievements registration] - Registering achievement 'Waverider' with id '64'"
canary-go-server  | time=2026-07-23T23:59:07.999Z level=DEBUG msg=lua msg="[Achievements registration] - Registering achievement 'Rockstar' with id '65'"
canary-go-server  | time=2026-07-23T23:59:07.999Z level=DEBUG msg=lua msg="[Achievements registration] - Registering achievement 'Allowance Collector' with id '66'"
canary-go-server  | time=2026-07-23T23:59:07.999Z level=DEBUG msg=lua msg="[Achievements registration] - Registering achievement 'High-Flyer' with id '67'"
canary-go-server  | time=2026-07-23T23:59:07.999Z level=DEBUG msg=lua msg="[Achievements registration] - Registering achievement 'Clay Fighter' with id '68'"
canary-go-server  | time=2026-07-23T23:59:07.999Z level=DEBUG msg=lua msg="[Achievements registration] - Registering achievement 'Masquerader' with id '69'"
canary-go-server  | time=2026-07-23T23:59:07.999Z level=DEBUG msg=lua msg="[Achievements registration] - Registering achievement 'Deep Sea Diver' with id '70'"
canary-go-server  | time=2026-07-23T23:59:07.999Z level=DEBUG msg=lua msg="[Achievements registration] - Registering achievement 'Firewalker' with id '71'"
canary-go-server  | time=2026-07-23T23:59:07.999Z level=DEBUG msg=lua msg="[Achievements registration] - Registering achievement 'Here, Fishy Fishy!' with id '72'"
canary-go-server  | time=2026-07-23T23:59:07.999Z level=DEBUG msg=lua msg="[Achievements registration] - Registering achievement 'Green Thumb' with id '73'"
canary-go-server  | time=2026-07-23T23:59:07.999Z level=DEBUG msg=lua msg="[Achievements registration] - Registering achievement 'Potion Addict' with id '74'"
canary-go-server  | time=2026-07-23T23:59:07.999Z level=DEBUG msg=lua msg="[Achievements registration] - Registering achievement 'Ice Sculptor' with id '75'"
canary-go-server  | time=2026-07-23T23:59:07.999Z level=DEBUG msg=lua msg="[Achievements registration] - Registering achievement 'Interior Decorator' with id '76'"
canary-go-server  | time=2026-07-23T23:59:07.999Z level=DEBUG msg=lua msg="[Achievements registration] - Registering achievement 'Jinx' with id '77'"
canary-go-server  | time=2026-07-23T23:59:07.999Z level=DEBUG msg=lua msg="[Achievements registration] - Registering achievement 'Lucky Devil' with id '78'"
canary-go-server  | time=2026-07-23T23:59:07.999Z level=DEBUG msg=lua msg="[Achievements registration] - Registering achievement 'Marblelous' with id '79'"
canary-go-server  | time=2026-07-23T23:59:07.999Z level=DEBUG msg=lua msg="[Achievements registration] - Registering achievement 'Party Animal' with id '80'"
canary-go-server  | time=2026-07-23T23:59:07.999Z level=DEBUG msg=lua msg="[Achievements registration] - Registering achievement 'Fireworks in the Sky' with id '81'"
canary-go-server  | time=2026-07-23T23:59:07.999Z level=DEBUG msg=lua msg="[Achievements registration] - Registering achievement 'Quick as a Turtle' with id '82'"
canary-go-server  | time=2026-07-23T23:59:07.999Z level=DEBUG msg=lua msg="[Achievements registration] - Registering achievement 'Polisher' with id '83'"
canary-go-server  | time=2026-07-23T23:59:07.999Z level=DEBUG msg=lua msg="[Achievements registration] - Registering achievement 'Ship's Kobold' with id '84'"
canary-go-server  | time=2026-07-23T23:59:07.999Z level=DEBUG msg=lua msg="[Achievements registration] - Registering achievement 'Steampunked' with id '85'"
canary-go-server  | time=2026-07-23T23:59:07.999Z level=DEBUG msg=lua msg="[Achievements registration] - Registering achievement 'Vanity' with id '86'"
canary-go-server  | time=2026-07-23T23:59:07.999Z level=DEBUG msg=lua msg="[Achievements registration] - Registering achievement 'Superstitious' with id '87'"
canary-go-server  | time=2026-07-23T23:59:07.999Z level=DEBUG msg=lua msg="[Achievements registration] - Registering achievement 'Turncoat' with id '88'"
canary-go-server  | time=2026-07-23T23:59:07.999Z level=DEBUG msg=lua msg="[Achievements registration] - Registering achievement 'Marble Madness' with id '89'"
canary-go-server  | time=2026-07-23T23:59:07.999Z level=DEBUG msg=lua msg="[Achievements registration] - Registering achievement 'Clay to Fame' with id '90'"
canary-go-server  | time=2026-07-23T23:59:07.999Z level=DEBUG msg=lua msg="[Achievements registration] - Registering achievement 'Cold as Ice' with id '91'"
canary-go-server  | time=2026-07-23T23:59:07.999Z level=DEBUG msg=lua msg="[Achievements registration] - Registering achievement 'Exquisite Taste' with id '92'"
canary-go-server  | time=2026-07-23T23:59:07.999Z level=DEBUG msg=lua msg="[Achievements registration] - Registering achievement 'Jamjam' with id '93'"
canary-go-server  | time=2026-07-23T23:59:07.999Z level=DEBUG msg=lua msg="[Achievements registration] - Registering achievement 'I Did My Part' with id '94'"
canary-go-server  | time=2026-07-23T23:59:07.999Z level=DEBUG msg=lua msg="[Achievements registration] - Registering achievement 'Notorious Worldsaver' with id '95'"
canary-go-server  | time=2026-07-23T23:59:07.999Z level=DEBUG msg=lua msg="[Achievements registration] - Registering achievement 'Teamplayer' with id '96'"
canary-go-server  | time=2026-07-23T23:59:07.999Z level=DEBUG msg=lua msg="[Achievements registration] - Registering achievement 'Daring Trespasser' with id '97'"
canary-go-server  | time=2026-07-23T23:59:07.999Z level=DEBUG msg=lua msg="[Achievements registration] - Registering achievement 'Slayer of Anmothra' with id '98'"
canary-go-server  | time=2026-07-23T23:59:07.999Z level=DEBUG msg=lua msg="[Achievements registration] - Registering achievement 'Slayer of Chikhaton' with id '99'"
canary-go-server  | time=2026-07-23T23:59:07.999Z level=DEBUG msg=lua msg="[Achievements registration] - Registering achievement 'Slayer of Irahsae' with id '100'"
canary-go-server  | time=2026-07-23T23:59:07.999Z level=DEBUG msg=lua msg="[Achievements registration] - Registering achievement 'Slayer of Phrodomo' with id '101'"
canary-go-server  | time=2026-07-23T23:59:07.999Z level=DEBUG msg=lua msg="[Achievements registration] - Registering achievement 'Slayer of Teneshpar' with id '102'"
canary-go-server  | time=2026-07-23T23:59:07.999Z level=DEBUG msg=lua msg="[Achievements registration] - Registering achievement 'Cocoon of Doom' with id '103'"
canary-go-server  | time=2026-07-23T23:59:07.999Z level=DEBUG msg=lua msg="[Achievements registration] - Registering achievement 'Devovorga's Nemesis' with id '104'"
canary-go-server  | time=2026-07-23T23:59:07.999Z level=DEBUG msg=lua msg="[Achievements registration] - Registering achievement 'Mister Sandman' with id '105'"
canary-go-server  | time=2026-07-23T23:59:07.999Z level=DEBUG msg=lua msg="[Achievements registration] - Registering achievement 'Rock Me to Sleep' with id '106'"
canary-go-server  | time=2026-07-23T23:59:07.999Z level=DEBUG msg=lua msg="[Achievements registration] - Registering achievement 'Modest Guest' with id '107'"
canary-go-server  | time=2026-07-23T23:59:07.999Z level=DEBUG msg=lua msg="[Achievements registration] - Registering achievement 'Joke's on You' with id '108'"
canary-go-server  | time=2026-07-23T23:59:07.999Z level=DEBUG msg=lua msg="[Achievements registration] - Registering achievement 'Oops' with id '109'"
canary-go-server  | time=2026-07-23T23:59:07.999Z level=DEBUG msg=lua msg="[Achievements registration] - Registering achievement 'Bluebarian' with id '110'"
canary-go-server  | time=2026-07-23T23:59:07.999Z level=DEBUG msg=lua msg="[Achievements registration] - Registering achievement 'Demonic Barkeeper' with id '111'"
canary-go-server  | time=2026-07-23T23:59:07.999Z level=DEBUG msg=lua msg="[Achievements registration] - Registering achievement 'The Snowman' with id '112'"
canary-go-server  | time=2026-07-23T23:59:07.999Z level=DEBUG msg=lua msg="[Achievements registration] - Registering achievement 'Number of the Beast' with id '113'"
canary-go-server  | time=2026-07-23T23:59:07.999Z level=DEBUG msg=lua msg="[Achievements registration] - Registering achievement 'I Need a Hug' with id '114'"
canary-go-server  | time=2026-07-23T23:59:07.999Z level=DEBUG msg=lua msg="[Achievements registration] - Registering achievement 'Slim Chance' with id '115'"
canary-go-server  | time=2026-07-23T23:59:07.999Z level=DEBUG msg=lua msg="[Achievements registration] - Registering achievement 'Rocket in Pocket' with id '116'"
canary-go-server  | time=2026-07-23T23:59:07.999Z level=DEBUG msg=lua msg="[Achievements registration] - Registering achievement 'Make a Wish' with id '117'"
canary-go-server  | time=2026-07-23T23:59:07.999Z level=DEBUG msg=lua msg="[Achievements registration] - Registering achievement 'Santa's Li'l Helper' with id '118'"
canary-go-server  | time=2026-07-23T23:59:07.999Z level=DEBUG msg=lua msg="[Achievements registration] - Registering achievement 'Cursed!' with id '119'"
canary-go-server  | time=2026-07-23T23:59:07.999Z level=DEBUG msg=lua msg="[Achievements registration] - Registering achievement 'Free Items!' with id '120'"
canary-go-server  | time=2026-07-23T23:59:07.999Z level=DEBUG msg=lua msg="[Achievements registration] - Registering achievement 'Rollercoaster' with id '121'"
canary-go-server  | time=2026-07-23T23:59:07.999Z level=DEBUG msg=lua msg="[Achievements registration] - Registering achievement 'Transmutator' with id '122'"
canary-go-server  | time=2026-07-23T23:59:07.999Z level=DEBUG msg=lua msg="[Achievements registration] - Registering achievement 'Berserker' with id '123'"
canary-go-server  | time=2026-07-23T23:59:07.999Z level=DEBUG msg=lua msg="[Achievements registration] - Registering achievement 'Mastermind' with id '124'"
canary-go-server  | time=2026-07-23T23:59:07.999Z level=DEBUG msg=lua msg="[Achievements registration] - Registering achievement 'Sharpshooter' with id '125'"
canary-go-server  | time=2026-07-23T23:59:07.999Z level=DEBUG msg=lua msg="[Achievements registration] - Registering achievement 'Do Not Disturb' with id '126'"
canary-go-server  | time=2026-07-23T23:59:07.999Z level=DEBUG msg=lua msg="[Achievements registration] - Registering achievement 'Let the Sunshine In' with id '127'"
canary-go-server  | time=2026-07-23T23:59:07.999Z level=DEBUG msg=lua msg="[Achievements registration] - Registering achievement 'Bad Timing' with id '128'"
canary-go-server  | time=2026-07-23T23:59:07.999Z level=DEBUG msg=lua msg="[Achievements registration] - Registering achievement 'Nothing Can Stop Me' with id '129'"
canary-go-server  | time=2026-07-23T23:59:07.999Z level=DEBUG msg=lua msg="[Achievements registration] - Registering achievement 'Happy Farmer' with id '130'"
canary-go-server  | time=2026-07-23T23:59:07.999Z level=DEBUG msg=lua msg="[Achievements registration] - Registering achievement 'Natural Sweetener' with id '131'"
canary-go-server  | time=2026-07-23T23:59:07.999Z level=DEBUG msg=lua msg="[Achievements registration] - Registering achievement 'Homebrewed' with id '132'"
canary-go-server  | time=2026-07-23T23:59:07.999Z level=DEBUG msg=lua msg="[Achievements registration] - Registering achievement 'Gold Digger' with id '133'"
canary-go-server  | time=2026-07-23T23:59:07.999Z level=DEBUG msg=lua msg="[Achievements registration] - Registering achievement 'The Undertaker' with id '134'"
